MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Group,HomeGoals, AwayGoals,Tie
47,3,2022-02-12 19:00:00,Stadium 974,Serbia,Switzerland,Group G,2,3,
48,3,2022-02-12 19:00:00,Lusail Stadium,Cameroon,Brazil,Group G,1,0,
49,Round of 16,2022-03-12 15:00:00,Khalifa International Stadium,Netherlands,USA,,3,1,
50,Round of 16,2022-03-12 19:00:00,Ahmad Bin Ali Stadium,Argentina,Australia,,2,1,
52,Round of 16,2022-04-12 15:00:00,Al Thumama Stadium,France,Poland,,3,1,
51,Round of 16,2022-04-12 19:00:00,Al Bayt Stadium,England,Senegal,,3,0,
53,Round of 16,2022-05-12 15:00:00,Al Janoub Stadium,Japan,Croatia,,1,1,CRO
54,Round of 16,2022-05-12 19:00:00,Stadium 974,Brazil,Korea Republic,,4,1,
55,Round of 16,2022-06-12 15:00:00,Education City Stadium,Morocco,Spain,,0,0,ESP
56,Round of 16,2022-06-12 19:00:00,Lusail Stadium,Portugal,Switzerland,,6,1,
58,Quarter Finals,2022-09-12 15:00:00,Education City Stadium,Croatia,Brazil,,1,1,CRO
57,Quarter Finals,2022-09-12 19:00:00,Lusail Stadium,Netherlands,Argentina,,2,2,ARG
60,Quarter Finals,2022-10-12 15:00:00,Al Thumama Stadium,Morocco,Portugal,,1,0,
59,Quarter Finals,2022-10-12 19:00:00,Al Bayt Stadium,England,France,,1,2,
61,Semi Finals,2022-12-13 19:00:00,Lusail Stadium,Argentina,Croatia,,3,0,
62,Semi Finals,2022-12-14 19:00:00,Al Bayt Stadium,France,Morocco,,2,0,
63,Finals,2022-12-17 15:00:00,Khalifa International Stadium,Croatia,Morocco,,2,1,
64,Finals,2022-12-18 15:00:00,Lusail Stadium,Argentina,France,,3,3,ARG
